Niche,Macro_Category,Warehouse_Source,Country,Buyer_ID,Buyer_Name,Tender_Count,First_Date,Last_Date,Active_Years,Active_Span_Days
Website design / redesign,WEB_DIGITAL,Germany,Germany,buy_6ac5347b148d4be7467f,Bundesinstitut für Öffentliche Gesundheit (BIÖG),6,2026-01-06,2026-07-06,1,181
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_e8f7854e2d202bf82b1a,"Ministerie van Defensie, Defensie Ondersteuningscommando (DOSCO)",6,2023-12-21,2026-06-28,4,920
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_60eacdb83f95d20e0992,Thirteen Housing Group Limited,6,2023-11-30,2026-06-26,4,939
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_ba72baf57d589ecb103b,Gemeente Oldambt,6,2024-11-01,2026-06-24,2,600
Document digitization / scanning,DATA_ADMIN,United Kingdom,United Kingdom,buy_73e6d70a178a2412f5f5,JNCC SUPPORT CO,6,2025-10-07,2026-06-23,2,259
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Belgium,BE,buy_1c9937364ffb1d51a5f56ff9,Seraing,6,2024-04-24,2026-06-22,3,789
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_0e7ecd3d0ea9189ed293,Centre des monuments nationaux,6,2025-02-09,2026-06-21,2,497
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_e5514c35ced7679f108b,Région Ile de France,6,2024-04-26,2026-06-14,3,779
Simple API / software integration,AUTOMATION_SOFTWARE,TED,CHE,buy_bacf2bcb45c828276231,Ville de Lausanne – LEA - Service d’organisation et d’informatique (SOI),6,2024-09-02,2026-06-11,3,647
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_d491e069a17a8bf106ca,Metropoolregio Eindhoven,6,2024-04-18,2026-06-08,2,781
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_0d910932efa94717f179,Stichting Amsterdam UMC,6,2024-10-18,2026-06-08,3,598
Transcription / minutes,VIDEO_AUDIO,United Kingdom,United Kingdom,buy_80e14296282f5f5b135c,NHS ENGLAND,6,2023-11-29,2026-06-05,3,919
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_599a3ef6df17854068cb,Université du Québec à Montréal,6,2023-11-30,2026-06-04,3,917
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_ca31e7e4d3e19f9048ff,Gemeente Zaanstad,6,2024-04-12,2026-06-02,3,781
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_6a52b0a82189d174d3ae,Gemeente Haarlemmermeer,6,2023-10-04,2026-06-02,3,972
Workflow automation / RPA,AUTOMATION_SOFTWARE,TED,SWE,buy_3d59e3bbb5e2f64301ba,Stadskontoret,6,2023-11-16,2026-05-29,4,925
Transcription / minutes,VIDEO_AUDIO,Germany,Germany,buy_d46f077b20eeec1a90af,Landkreis Ludwigslust-Parchim - Der Landrat,6,2025-05-23,2026-05-27,2,369
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_1acbe3d6dd69992b3886,Ministère des Transports et de la Mobilité durable (Direction générale de la gestion contractuelle),6,2023-08-08,2026-05-26,2,1022
Website design / redesign,WEB_DIGITAL,Germany,Germany,buy_6dffe386cc01d597f8e9,NRW.BANK AöR,6,2024-02-27,2026-05-26,2,819
Brochure / flyer / poster printing,PRINT_BROKERAGE,Belgium,BE,buy_bc2436bac80d41a736abda00,Administration générale de l'Enseignement,6,2023-12-18,2026-05-26,4,890
Brochure / flyer / poster printing,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_b14589da70b9c686f6fa,Ville de Montréal - Arrondissement Lasalle,6,2023-01-16,2026-05-21,3,1221
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,BIH,buy_927d666820b771efe0b7,"European Commission, ENEST - Enlargement and Eastern Neighbourhood",6,2024-09-17,2026-05-21,3,611
Document digitization / scanning,DATA_ADMIN,TED,CZE,buy_6f79629fe8c07370e0e8,Univerzita Karlova,6,2024-05-10,2026-05-18,3,738
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_be6bc329a9ac383608c0,Wageningen University & Research,6,2024-08-16,2026-05-15,3,637
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_cfbb924a92faa405859d,Ville de Saint-Jérôme.,6,2023-11-17,2026-05-13,4,908
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_462fa93121ac76cb17fc,Ville de Boucherville,6,2024-02-05,2026-05-11,3,826
Simple API / software integration,AUTOMATION_SOFTWARE,TED,FIN,buy_b25d30d271157ab27322,Traffic Management Company Fintraffic Ltd,6,2023-12-12,2026-05-09,4,879
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_d21e776de3138c090695,"Leicestershire County Council, trading as ESPO",6,2025-05-22,2026-05-07,2,350
Web hosting / domain / SSL,WEB_DIGITAL,TenderNed,Netherlands,buy_46a7b7468c880f50267d,Alliander N.V.,6,2024-02-09,2026-05-07,3,818
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_57a8b61e68551e65fd75,Agence de l'eau Seine-Normandie,6,2024-06-22,2026-04-29,2,676
Transcription / minutes,VIDEO_AUDIO,Quebec,Canada - Quebec,buy_f9491f8a90e3ad650bd6,Directeur des poursuites criminelles et pénales,6,2023-10-19,2026-04-28,3,922
Web hosting / domain / SSL,WEB_DIGITAL,TenderNed,Netherlands,buy_3d218537f8e2c8f4bb9e,Gemeente Amsterdam,6,2024-08-30,2026-04-26,3,604
Transcription / minutes,VIDEO_AUDIO,Quebec,Canada - Quebec,buy_69b4b0c5801f73def668,Société de l'assurance automobile du Québec .,6,2023-12-11,2026-04-24,3,865
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Belgium,BE,buy_7a81db632187b1a4b6e2fce5,Opérateur de Transport de Wallonie,6,2023-12-07,2026-04-24,4,869
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_b36c3c47ce15e437480b,The Mayor and Commonalty and Citizens of the City of London,6,2025-04-11,2026-04-23,2,377
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_63dbc34c3992ba030e7f,Handwerkskammer Braunschweig-Lüneburg-Stade,6,2024-07-09,2026-04-20,2,650
Brochure / flyer / poster printing,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_b09b36e95e556fb79750,Centre d'acquisitions gouvernementales,6,2024-02-02,2026-04-20,3,808
Brochure / flyer / poster printing,PRINT_BROKERAGE,TenderNed,Netherlands,buy_0c1ad1c449536e1a85ea,Gemeente 's-Hertogenbosch,6,2024-06-19,2026-04-16,3,666
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_f8ed0d89ecd0854f9997,Gemeente Eemsdelta,6,2023-12-22,2026-04-16,4,846
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_030687f7b738d520febd,Gemeente Amstelveen,6,2024-06-28,2026-04-16,3,657
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_57b5b6bce24200185682,Gemeente Oss,6,2023-09-01,2026-04-16,3,958
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_f000bc7ab96498de91a1,Verkehrsverbund Rhein-Ruhr AöR,6,2023-11-30,2026-04-14,4,866
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_38638a6509c811475634,Stadt Regensburg,6,2023-11-08,2026-04-14,4,888
Brochure / flyer / poster printing,PRINT_BROKERAGE,Germany,Germany,buy_5ea5ac217c9d7ea5ba94,"Landeshauptstadt Düsseldorf, Der Oberbürgermeister, Amt für Recht, Vergabe und Versicherungen, Zentrale Vergabestelle",6,2024-12-05,2026-04-08,3,489
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_e112869d677cade3d75a,TenneT TSO,6,2025-10-15,2026-04-08,2,175
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_43a3bd41d8860af3b3935e7c,in BW Association Intercommunale,6,2023-09-05,2026-04-07,3,945
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_952ce065abf0b13fe41a,Gemeente Utrecht,6,2023-08-09,2026-04-02,3,967
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Ireland,Ireland,buy_92363d3d8f2f018d6c52,Office of Public Works (OPW),6,2025-01-17,2026-03-31,2,438
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_369c75fd4f92e243a63e,HOWOGE Wohnungsbaugesellschaft mbH,6,2024-02-02,2026-03-27,3,784
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_648f79627748dd185b40,"Ministerium für Heimat, Kommunales, Bau und Digitalisierung des Landes Nordrhein-Westfalen",6,2024-10-11,2026-03-25,3,530
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_b9172563222715d8f59f,Department of Fisheries and Oceans (DFO),6,2025-05-26,2026-03-24,2,302
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Belgium,BE,buy_b7d339e0ce31252211a88207,Intercommunale Idea Mons-Borinage-Centre SCRL,6,2024-06-07,2026-03-16,3,647
Web hosting / domain / SSL,WEB_DIGITAL,TED,AUT,buy_001cc06b96d8f5cfe636,ÖBB-Holding AG mit allen verbundenen Unternehmen,6,2023-12-20,2026-03-16,4,817
Brochure / flyer / poster printing,PRINT_BROKERAGE,TenderNed,Netherlands,buy_3d218537f8e2c8f4bb9e,Gemeente Amsterdam,6,2024-10-24,2026-03-14,3,506
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_042d52e185e463c394d3,"DB Systel GmbH (Bukr 2B, 44)",6,2023-12-08,2026-03-09,3,822
Document digitization / scanning,DATA_ADMIN,France,France,buy_58d6845ce8294230c7ef,Bibliothèque Nationale de France,6,2023-10-13,2026-02-27,4,868
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_20fd4ccbdb83a4e0c29a,Région Provence-Alpes-Côte d'Azur,6,2024-10-09,2026-02-15,3,494
Social media content production,CONTENT_DESIGN,TED,SWE,buy_3d59e3bbb5e2f64301ba,Luleå tekniska universitet,6,2024-11-08,2026-02-13,3,462
Brochure / flyer / poster printing,PRINT_BROKERAGE,Ireland,Ireland,buy_73f96bb899eebd2f4cc9,National Transport Authority,6,2023-10-25,2026-02-11,3,840
Social media content production,CONTENT_DESIGN,TED,CZE,buy_85fe87d2665464f38efa,Česká průmyslová zdravotní pojišťovna,6,2024-04-18,2026-02-02,3,655
Graphic design / layout,CONTENT_DESIGN,TED,DNK,buy_ccb634a88b3b7aa188bd,European Environment Agency (EEA),6,2024-03-06,2026-01-23,3,688
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_5684d2b460f76ba814fe,Stadt Münster,6,2024-04-23,2026-01-19,2,636
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_97ce44badffab2ec31c4,Département de la Seine-Maritime,6,2024-03-30,2026-01-18,3,659
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_3391c792fd1f70715d29,Norfolk County Council,6,2025-05-30,2026-01-13,2,228
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Belgium,BE,buy_1bd670b70ead62d4ef7f569b,Direction régionale de Liège,6,2024-01-31,2026-01-09,3,709
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_869c9ff65b07e74f9f5e,PD - Berater der öffentlichen Hand GmbH,6,2024-05-08,2026-01-09,3,611
Labels / stickers / QR materials,PRINT_BROKERAGE,Canada federal,Canada,buy_0607a8a09c35020b4e75,Department of Public Works and Government Services (PSPC),6,2023-09-18,2026-01-08,4,843
Document digitization / scanning,DATA_ADMIN,United Kingdom,United Kingdom,buy_75b0676d59b8ca22663d,Ministry of Defence,6,2023-08-02,2025-12-15,3,866
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_d398272a40897f050b6c9e6d,Université Libre de Bruxelles,6,2024-03-28,2025-12-15,2,627
Cataloguing / indexing / metadata,DATA_ADMIN,TED,NOR,buy_581df20f038735ed5497,SYKEHUSINNKJØP HF,6,2023-12-22,2025-12-12,3,721
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_f8058940e08f75993385,Universitair Medisch Centrum Groningen (UMCG),6,2023-12-17,2025-12-12,3,726
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_e3eb92f35a9060868d7d3a6f,"SPF Economie, PME, Classes moyennes et Energie",6,2023-09-18,2025-12-09,3,813
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_dff1de2726eacfec7c34,Universität Heidelberg,6,2024-03-28,2025-11-25,2,607
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_02e994132cb9b6b5f35d,Max-Planck-Gesellschaft z.F.d.W. Generalverwaltung;,6,2024-01-09,2025-11-21,2,682
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_06c58785754d92a78574,ekom21 - Kommunales Gebietsrechenzentrum Hessen,6,2024-02-29,2025-11-20,2,630
Copywriting / editorial content,CONTENT_DESIGN,Quebec,Canada - Quebec,buy_20a0d3dbac1bd14a1349,Ministère de la Santé et des Services Sociaux,6,2023-09-28,2025-11-18,3,782
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_440e203d13e0adba32ed,Ville de Laval,6,2023-11-17,2025-11-17,3,731
Transcription / minutes,VIDEO_AUDIO,Germany,Germany,buy_84036a2439505808f613,AOK Bayern - Die Gesundheitskasse,6,2023-10-27,2025-11-11,2,746
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_f5526f1a90a7971ceb17,VILLE DE LIMOGES,6,2024-01-02,2025-11-05,2,673
Website design / redesign,WEB_DIGITAL,Germany,Germany,buy_2e0a7475b9db81f60fc8,"Bundesrepublik Deutschland, vertreten durch das Bundesministerium des Innern und für Heimat, vertreten durch das Beschaffungsamt des BMI",6,2023-12-22,2025-11-03,3,682
Data entry / back-office processing,DATA_ADMIN,TED,MLT,buy_49603fbd0efcf57ee39e,Department of Contracts,6,2024-05-16,2025-11-03,2,536
Brochure / flyer / poster printing,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_78c087400a2e11bb6c94,Ville de Brossard,6,2023-08-24,2025-10-29,3,797
Brochure / flyer / poster printing,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_a88d36c76ab8675faa01,Ville de Montréal - Arrondissement de Mercier–Hochelaga-Maisonneuve,6,2024-01-10,2025-10-14,2,643
Promotional merchandise / branded items,PRINT_BROKERAGE,France,France,buy_3698935a69311219314e,Conseil Départemental de la Guadeloupe,6,2023-10-08,2025-10-10,2,733
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_ba186351af0e45be47f8,Universitätsklinikum Frankfurt,6,2023-12-12,2025-10-09,3,667
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_375680e572ea0ea03b49,GRAND PORT MARITIME DE MARSEILLE,6,2023-09-29,2025-10-07,3,739
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_2fdb63999254a387e51e,Département de la Seine-Saint-Denis,6,2024-01-24,2025-10-07,2,622
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_d9380dacc7251bf49508,Département de Mayotte,6,2024-03-13,2025-09-25,2,561
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_e923a2c99fc1626957a0,Deutsches Krebsforschungszentrum Heidelberg,6,2025-08-14,2025-09-17,1,34
Brochure / flyer / poster printing,PRINT_BROKERAGE,Canada federal,Canada,buy_d4c08f624d20d762b55f,Department of Justice (JUS),6,2025-04-30,2025-09-15,1,138
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_5f9fbd36fa48394e0ac5,Leids Universitair Medisch Centrum (LUMC),6,2023-09-21,2025-08-30,3,709
Website maintenance / content updates,WEB_DIGITAL,TED,ITA,buy_811f3d14bc58dffafbdd,Comando Generale della Guardia di Finanza - Direzione Approvvigionamenti,6,2024-01-30,2025-08-28,2,576
Transcription / minutes,VIDEO_AUDIO,Quebec,Canada - Quebec,buy_5174d59864f1bd30a789,Centre Intégré de Santé et de Services Sociaux de l'Outaouais,6,2024-06-25,2025-08-27,2,428
Website design / redesign,WEB_DIGITAL,TED,CZE,buy_6f79629fe8c07370e0e8,Památník národního písemnictví,6,2024-04-17,2025-08-22,2,492
Brochure / flyer / poster printing,PRINT_BROKERAGE,TenderNed,Netherlands,buy_fa92243f5d9c68323c3d,"Belastingdienst, IUC Belastingdienst",6,2023-11-10,2025-08-12,3,641
Document digitization / scanning,DATA_ADMIN,Quebec,Canada - Quebec,buy_b2fc071dc8e65c9cf119,Ministère de la Cybersécurité et du Numérique - Direction générale des services contractuels,6,2023-11-28,2025-08-08,3,619
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_3d218537f8e2c8f4bb9e,Gemeente Amsterdam,6,2023-10-25,2025-07-30,3,644
Transcription / minutes,VIDEO_AUDIO,Quebec,Canada - Quebec,buy_7135d0c0582956e9687a,Université Concordia,6,2024-04-25,2025-07-27,2,458
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_222ef02dd5db3c1d6ad6,Ville de Saguenay,6,2023-08-31,2025-07-04,3,673
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_399f99e37e5763a99bdc,Cégep Marie-Victorin,6,2023-09-20,2025-06-27,3,646
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_0b217abeaec94452f06b,Bordeaux Métropole,6,2023-11-30,2025-06-13,3,561
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Belgium,BE,buy_5bf39ab9d7c00d7843bdc000,Intercommunale de Gestion de l'Environnement,6,2023-11-17,2025-05-23,3,553
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_a5a48a2821716ae2b29f,Ville de Paris,6,2023-11-08,2025-05-03,3,542
Proofreading / editing,CONTENT_DESIGN,Quebec,Canada - Quebec,buy_58a14b74d6ae2c25f910,"Ministère de l'Économie, de l'Innovation et de l'Énergie",6,2024-03-27,2025-04-14,2,383
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_00580f91045620c3915e,Hogeschool Utrecht,6,2023-09-06,2025-03-28,3,569
Copywriting / editorial content,CONTENT_DESIGN,France,France,buy_887d3f67d5d25d798f62,Conseil départemental Meurthe et Moselle,6,2024-02-02,2025-03-21,2,413
Photography,VIDEO_AUDIO,Ireland,Ireland,buy_0b65a6b4ce257fcfd126,Raidió Teilifís Éireann ( RTÉ ),6,2023-09-08,2025-03-19,3,558
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_30e8fc989fb9af779843,REGION BOURGOGNE-FRANCHE-COMTE,6,2023-10-22,2025-03-02,3,497
Brochure / flyer / poster printing,PRINT_BROKERAGE,TenderNed,Netherlands,buy_4b7b1bd5ce2a234c4a45,"Ministerie van Onderwijs, Cultuur en Wetenschap",6,2024-02-08,2024-12-26,1,322
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_545877411b5cf10ec6e1,RCMP-GRC,6,2023-09-07,2024-12-20,2,470
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_75607abcdfaf5bd32c33,Procurement and Logistics Service,6,2023-09-08,2024-12-10,2,459
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_0375e6209fc4b6f8a3b5,DB Netz AG (Bukr 16),6,2023-11-24,2024-11-19,2,361
Graphic design / layout,CONTENT_DESIGN,Quebec,Canada - Quebec,buy_75edb95bafb0b7774b08,Ministère de l'Éducation,6,2023-09-13,2024-10-16,2,399
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_0f57804acd13c641369f,Schön Klinik Holding SE,6,2024-01-21,2024-10-04,1,257
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_d81a952398c488250950,Transport Canada,6,2023-11-16,2024-06-20,2,217
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_2ea79b65ccdb011515b0,National Defence,6,2023-08-28,2024-05-15,2,261
Website design / redesign,WEB_DIGITAL,TED,AT,buy_9c48e2aa3daaf317ef3f,International Centre for Migration Policy Development (ICMPD),6,2023-08-09,2023-12-01,1,114
Document digitization / scanning,DATA_ADMIN,TED,MT,buy_8d6490fb91211e993a69,Department of Contracts,6,2023-08-21,2023-11-30,1,101
Transcription / minutes,VIDEO_AUDIO,TED,RO,buy_da177fea2ad6c7c32dbb,ACET S.A. Suceava,6,2023-08-07,2023-10-31,1,85
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,PL,buy_85f44c176810ac685d9c,Naukowa i Akademicka Sieć Komputerowa - Państwowy Instytut Badawczy,6,2023-09-08,2023-10-24,1,46
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,PL,buy_b71d53043c1da91ca0db,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,6,2023-08-04,2023-10-23,1,80
Online forms / lightweight portals,WEB_DIGITAL,TED,PL,buy_aaedbe69344c0f2e7513,Komenda Główna Straży Granicznej,6,2023-08-21,2023-09-20,1,30
Newsletter / magazine production,PRINT_BROKERAGE,TED,ESP,buy_262acb26bfbdf5a4121e,Junta de Gobierno del Ayuntamiento de Gandía,5,2024-07-24,2026-08-07,3,744
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_e3dda26f709cb24a74ad5952,Wallonie Bruxelles International,5,2024-02-07,2026-07-29,2,903
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_9a8454b755ddcb2adb3c,Bundesanstalt für Straßen- und Verkehrswesen,5,2025-05-22,2026-07-27,2,431
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_21a5c1160f3827a0863a,Hautes-Pyrénées Tourisme Environnement,5,2024-07-26,2026-07-24,3,728
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_ec5f25b98dae796b3b2f,Département de l'Isère,5,2024-01-17,2026-07-23,3,918
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_fdf636bf513a56ede635,Société de développement de la Baie-James.,5,2024-06-13,2026-07-23,3,770
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_10184e3f6b47645a1fca153e,Université de Liège (3P),5,2025-07-08,2026-07-22,2,379
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_151cc0939a93ae201a8a,Ville de Salaberry-de-Valleyfield,5,2023-11-15,2026-07-21,3,979
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Belgium,BE,buy_bed71d29dd1aa96b6a80c731,Ville de Bruxelles- Département Travaux de Voirie,5,2024-02-06,2026-07-20,2,895
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_c5b4e5035ad0f2aab01a9abf,Eghezée,5,2024-02-20,2026-07-15,2,876
Online forms / lightweight portals,WEB_DIGITAL,TED,SVK,buy_73db5c7f5f9933800fa8,"Slovenská elektrizačná prenosová sústava, a.s.",5,2023-10-26,2026-07-14,3,992
Brochure / flyer / poster printing,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_d2dd4869c10e9fb73176,École Polytechnique,5,2024-01-24,2026-07-13,3,901
Brochure / flyer / poster printing,PRINT_BROKERAGE,Canada federal,Canada,buy_d352f86cb29cd0b24c31,House of Commons,5,2023-11-27,2026-07-10,4,956
Transcription / minutes,VIDEO_AUDIO,United Kingdom,United Kingdom,buy_50b2ab91b96fbc3e794c,CENTRE FOR PROCESS INNOVATION LIMITED,5,2025-09-26,2026-07-09,2,286
Brochure / flyer / poster printing,PRINT_BROKERAGE,United Kingdom,United Kingdom,buy_2da6bd0a729eb81d504b,British Council,5,2025-08-05,2026-07-08,2,337
Brochure / flyer / poster printing,PRINT_BROKERAGE,Belgium,BE,buy_d6f09c00951e0dc6bb6a1997,Aankoopcentrale Groep CM-MC vzw,5,2023-12-13,2026-07-07,4,937
Transcription / minutes,VIDEO_AUDIO,United Kingdom,United Kingdom,buy_b1fd1f3fd7dc34ef3f3e,Financial Conduct Authority,5,2025-05-22,2026-07-07,2,411
Brochure / flyer / poster printing,PRINT_BROKERAGE,Belgium,BE,buy_12f260bbd39d3f9d2ea966eb,Enabel,5,2024-10-14,2026-07-07,3,631
Web hosting / domain / SSL,WEB_DIGITAL,TED,PRT,buy_091d5eef279cbb542f9f,Município de Cascais,5,2024-11-26,2026-07-04,3,585
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_b4bba8a5c6ed50fd7bf1,Universitätsklinikum Köln AöR,5,2024-03-26,2026-07-03,3,829
Website design / redesign,WEB_DIGITAL,France,France,buy_a5a48a2821716ae2b29f,VILLE DE PARIS,5,2023-08-18,2026-07-01,2,1048
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_e112869d677cade3d75a,TenneT TSO,5,2023-10-18,2026-06-30,4,986
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_8cab8061b2069c54f049,Métropole Aix Marseille Provence,5,2024-02-22,2026-06-25,3,854
Web hosting / domain / SSL,WEB_DIGITAL,United Kingdom,United Kingdom,buy_193e74360c2d488343df,Isle of Wight Council,5,2024-05-09,2026-06-24,3,776
Transcription / minutes,VIDEO_AUDIO,United Kingdom,United Kingdom,buy_d1d7e98c255be96e2229,University of Sheffield,5,2023-09-22,2026-06-19,4,1001
Digital marketing / SEO / campaigns,CONTENT_DESIGN,France,France,buy_6c842ac56740299ba63f,Office de Tourisme Métropolitain Nice Côte d'Azur (06),5,2025-10-03,2026-06-18,2,258
Small IT equipment supply,PROCUREMENT_BROKERAGE,TenderNed,Netherlands,buy_030687f7b738d520febd,Gemeente Amstelveen,5,2024-11-01,2026-06-17,2,593
Transcription / minutes,VIDEO_AUDIO,Quebec,Canada - Quebec,buy_3a436047397d703da787,"Ministère de l'Agriculture, des Pêcheries et de l'Alimentation",5,2023-08-30,2026-06-16,4,1021
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_dcbde0e5b4e01646cd76,Ville de Toulon,5,2024-02-02,2026-06-14,3,863
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_3ff062f63c35ea6d88d7,Centre de services scolaire de la Vallée-des-Tisserands,5,2023-11-14,2026-06-12,2,941
Small IT equipment supply,PROCUREMENT_BROKERAGE,United Kingdom,United Kingdom,buy_2da6bd0a729eb81d504b,British Council,5,2023-11-03,2026-06-12,3,952
E-learning / training content,TRAINING,TED,SWE,buy_3d59e3bbb5e2f64301ba,Skllefteå City Aiport AB,5,2024-12-10,2026-06-12,3,549
Website maintenance / content updates,WEB_DIGITAL,TED,LUX,buy_eeed8814d806fe8dfbe5,"European Commission, Publications Office",5,2024-12-20,2026-06-11,3,538
Small IT equipment supply,PROCUREMENT_BROKERAGE,Canada federal,Canada,buy_724fa8459a3d3d63ce6f,"Department of Foreign Affairs, Trade and Development (GAC)",5,2025-05-14,2026-06-10,2,392
Promotional merchandise / branded items,PRINT_BROKERAGE,TED,DNK,buy_ccb634a88b3b7aa188bd,Danish Ministry of Defence Acquisition and Logistics Organisation,5,2025-01-29,2026-06-09,2,496
Brochure / flyer / poster printing,PRINT_BROKERAGE,Belgium,BE,buy_7f3f2e3c7065fe85aa4776cc,La Sambrienne,5,2024-06-26,2026-06-08,2,712
Signage / wayfinding / vinyl,PRINT_BROKERAGE,France,France,buy_29de0f14400a681ed9b5,Conseil Départemental Haute-Vienne,5,2024-04-12,2026-06-07,3,786
